BreakingPoint,Price
9.9,3.22
10.7,3.22
9.9,3.22
6.8,3.22
8.7,3.22
9.6,3.22
6.2,3.22
6.7,3.22
11.9,3.22
8.6,3.22
6.5,3.22
7.8,3.22
7.8,3.22
7.1,3.22
7.4,3.22
10.2,3.22
8.6,3.22
8.5,3.22
6.4,3.22
10.3,3.22
9.3,3.22
9.7,3.22
8,3.22
7.3,4.97
7.6,4.97
6.3,4.97
10.5,4.97
6.1,4.97
8.1,4.97
10.5,4.97
7.8,4.97
8.9,4.97
14.9,4.97
12.4,4.97
8.1,4.97
8.3,4.97
9.8,4.97
8.9,4.97
8.1,4.97
8.4,4.97
8.6,4.97
8.8,4.97
12.3,4.97
13,4.97
11.4,4.97
7.7,4.97
8.3,4.97
6.7,4.97
10.6,4.74
7.9,4.74
12.5,4.74
10.6,4.74
13,4.74
12.4,4.74
9.3,4.74
9.9,4.74
9.6,4.74
8.5,4.74
10.2,4.74
11.1,4.74
8.3,4.74
9.6,4.74
12.3,4.74
10.6,4.74
9.1,4.74
12.3,4.74
11,4.74
11.2,4.74
9.1,4.74
10.1,4.74
11.6,4.74
8.3,4.74
